Model Configuration,Balancing,Split,Accuracy,Precision,Recall,F1,Macro_Accuracy,Macro_Precision,Macro_Recall,Macro_F1,MRR,MAP,NDCG
3. LR (Linguistic),Cluster,train,0.3924380704041721,0.22627314814814814,0.8650442477876106,0.3587155963302752,0.42085376521217227,0.28121927236971483,0.8650442477876106,0.40122208175305524,0.5542808776768954,0.5542808776768954,0.6638046298155647
3. LR (Linguistic),Cluster,validation,0.42358078602620086,0.22085889570552147,0.8780487804878049,0.35294117647058826,0.42377899877899877,0.2611111111111112,0.8846153846153846,0.385958485958486,0.5831501831501831,0.5793345543345543,0.6843099363644941
3. LR (Linguistic),RST-Neighborhood,train,0.3607127335940895,0.2241472658364916,0.915929203539823,0.3601565898216616,0.39624899436846345,0.2810274042574928,0.915929203539823,0.40788111838996793,0.5816828206208737,0.5816828206208737,0.6848071477059534
3. LR (Linguistic),RST-Neighborhood,validation,0.24890829694323144,0.18660287081339713,0.9512195121951219,0.312,0.2780016280016279,0.22435897435897437,0.9487179487179487,0.3477411477411477,0.5876068376068376,0.5850427350427351,0.6881018554058586
3. LR (Linguistic),DSNB,train,0.3520208604954368,0.21842818428184282,0.8915929203539823,0.3508924684370919,0.3919629289098316,0.27663598692359753,0.8915929203539823,0.39937571032703784,0.583588811630847,0.583588811630847,0.6861848602649618
3. LR (Linguistic),DSNB,validation,0.27510917030567683,0.18592964824120603,0.9024390243902439,0.30833333333333335,0.3000305250305249,0.22237484737484736,0.9102564102564102,0.34367114367114365,0.5468253968253968,0.5489621489621489,0.6594102822943452
4. LR (Surprisal),None,train,0.3798348544111256,0.22627737226277372,0.8915929203539823,0.36094939543215404,0.37006163084702914,0.2573746312684366,0.8915929203539823,0.3852507374631269,0.5826916446385474,0.5826916446385474,0.6853027207594956
4. LR (Surprisal),None,validation,0.4017467248908297,0.2037037037037037,0.8048780487804879,0.3251231527093596,0.3880647130647131,0.2341880341880342,0.8205128205128205,0.35347985347985356,0.5562271062271062,0.5594322344322344,0.6665022481908713
4. LR (Surprisal),Pairwise,train,0.19643633202955238,0.19643633202955238,1.0,0.32836905194333454,0.24366260583074745,0.24366260583074745,1.0,0.37334514060177776,0.5494091515662312,0.5494091515662312,0.6597387054634071
4. LR (Surprisal),Pairwise,validation,0.17903930131004367,0.17903930131004367,1.0,0.3037037037037037,0.22187627187627187,0.22187627187627187,1.0,0.3475209975209976,0.5103174603174603,0.513095238095238,0.631075030781258
4. LR (Surprisal),Cluster,train,0.2720556279878314,0.20329936923823386,0.9269911504424779,0.3334659769200159,0.31526237405662183,0.2570326367339642,0.9269911504424779,0.37983430040952165,0.5613799180170862,0.5613799180170862,0.6687973070270123
4. LR (Surprisal),Cluster,validation,0.2576419213973799,0.18840579710144928,0.9512195121951219,0.31451612903225806,0.2963064713064712,0.23342490842490846,0.9615384615384616,0.3605413105413106,0.5389499389499389,0.5383089133089133,0.6521563300810357
4. LR (Surprisal),RST-Neighborhood,train,0.24554541503694047,0.2011173184357542,0.9557522123893806,0.3323076923076923,0.28796833697276175,0.2507728198546783,0.9557522123893806,0.3766565784264899,0.5596135182418368,0.5596135182418368,0.6676124904325705
4. LR (Surprisal),RST-Neighborhood,validation,0.22270742358078602,0.18433179723502305,0.975609756097561,0.31007751937984496,0.27273097273097274,0.2312779812779813,0.9743589743589743,0.357899507899508,0.5684371184371185,0.5626678876678877,0.6703242921337099
4. LR (Surprisal),DSNB,train,0.23859191655801826,0.19907407407407407,0.9513274336283186,0.32924961715160794,0.28448406313450564,0.2498001506851065,0.9513274336283186,0.3752862918792123,0.5619399590085431,0.5619399590085431,0.669076321200088
4. LR (Surprisal),DSNB,validation,0.20087336244541484,0.18303571428571427,1.0,0.30943396226415093,0.24324379324379317,0.22614977614977613,1.0,0.3536260036260037,0.5836385836385836,0.5793650793650793,0.6832256698785597
5. LR (Combined),None,train,0.4763146458061712,0.2563106796116505,0.8761061946902655,0.39659489233850775,0.4600405923967871,0.2905973451327433,0.8761061946902655,0.42034344711335864,0.6082332490518332,0.6082332490518332,0.7053749092489499
5. LR (Combined),None,validation,0.4279475982532751,0.2,0.7317073170731707,0.31413612565445026,0.4228225478225478,0.23504273504273507,0.7564102564102564,0.33968253968253964,0.5282356532356532,0.5282356532356532,0.6432303522595595
5. LR (Combined),Pairwise,train,0.19643633202955238,0.19643633202955238,1.0,0.32836905194333454,0.24366260583074745,0.24366260583074745,1.0,0.37334514060177776,0.6079777707543194,0.6079777707543194,0.7054176807231629
5. LR (Combined),Pairwise,validation,0.17903930131004367,0.17903930131004367,1.0,0.3037037037037037,0.22187627187627187,0.22187627187627187,1.0,0.3475209975209976,0.5493894993894993,0.5413003663003663,0.6548481736362416
5. LR (Combined),Cluster,train,0.41938287700999566,0.23501199040767387,0.8672566371681416,0.36981132075471695,0.45241942177782885,0.30380966747117194,0.8672566371681416,0.42252423093131064,0.5718684953198228,0.5718684953198228,0.677217135538884
5. LR (Combined),Cluster,validation,0.40611353711790393,0.21212121212121213,0.8536585365853658,0.33980582524271846,0.4119251119251119,0.25384615384615383,0.8461538461538461,0.3769230769230769,0.5167277167277167,0.5210012210012209,0.6377816689797117
5. LR (Combined),RST-Neighborhood,train,0.4041720990873533,0.2292280494991161,0.8606194690265486,0.3620288506281992,0.43337762900816,0.2862961153890357,0.8606194690265486,0.40815247928079784,0.5719728894507655,0.5719728894507655,0.6773363871790453
5. LR (Combined),RST-Neighborhood,validation,0.37554585152838427,0.21022727272727273,0.9024390243902439,0.34101382488479265,0.40050875050875046,0.2701465201465202,0.8974358974358975,0.3858974358974359,0.5474969474969474,0.5515567765567765,0.6604616205489697
5. LR (Combined),DSNB,train,0.4028683181225554,0.22786304604486424,0.8539823008849557,0.3597390493942218,0.4322585047695668,0.281940932715269,0.8539823008849557,0.40381309938832066,0.5811210237648291,0.5811210237648291,0.6842113269661468
5. LR (Combined),DSNB,validation,0.3537117903930131,0.19428571428571428,0.8292682926829268,0.3148148148148148,0.38804436304436296,0.24597069597069599,0.8333333333333334,0.3635938135938135,0.5605616605616606,0.5616605616605616,0.6683813179871558
6. Gated BERT (Context Features),None,train,0.8048674489352455,1.0,0.00663716814159292,0.013186813186813187,0.7585497835497838,0.00663716814159292,0.00663716814159292,0.00663716814159292,0.547579780101904,0.547579780101904,0.6576871363226316
6. Gated BERT (Context Features),None,validation,0.8209606986899564,0.0,0.0,0.0,0.7781237281237282,0.0,0.0,0.0,0.3937118437118437,0.3970950345950346,0.5415045592619117
